gene_id,gene_name,chr_hg38,PearsonR,MeanObs,StdObs,PrediXcanR,PearsonRfineTuned
ENSG00000189298,ZKSCAN3,6,-0.178,2.0,0.343,0.394408,-0.062
ENSG00000196235,SUPT5H,19,-0.175,7.0,0.193,0.338363,-0.177
ENSG00000196263,ZNF471,19,-0.111,4.2,0.298,0.393788,0.035
ENSG00000196268,ZNF493,19,-0.328,4.07,0.274,0.449359,-0.331
ENSG00000196275,GTF2IRD2,7,-0.125,3.26,0.42,0.11815,-0.094
ENSG00000196295,AC005154.1,7,-0.353,5.16,0.367,,-0.08
ENSG00000196458,ZNF605,12,-0.141,4.92,0.271,0.318044,-0.126
ENSG00000196655,TRAPPC4,11,-0.294,4.15,0.229,0.587758,-0.076
ENSG00000196670,ZFP62,5,-0.148,3.93,0.211,0.173042,0.111
ENSG00000196704,AMZ2,17,-0.178,5.79,0.22,,0.011
ENSG00000196793,ZNF239,10,-0.144,1.65,0.367,0.167994,-0.12
ENSG00000196922,ZNF252P,8,-0.138,4.42,0.294,,-0.274
ENSG00000197345,MRPL21,11,-0.433,4.01,0.308,0.802936,-0.009
ENSG00000198075,SULT1C4,2,-0.096,1.94,0.652,0.22621,-0.131
ENSG00000198089,SFI1,22,-0.102,4.7,0.343,0.271636,-0.169
ENSG00000198105,ZNF248,10,-0.103,5.12,0.209,0.031005,-0.038
ENSG00000198189,HSD17B11,4,-0.115,3.69,0.312,,-0.04
ENSG00000198315,ZKSCAN8,6,-0.164,4.47,0.247,0.306197,0.182
ENSG00000198890,PRMT6,1,-0.222,2.78,0.299,0.362702,0.26
ENSG00000204351,SKIV2L,6,-0.159,5.03,0.245,0.481864,-0.12
ENSG00000204514,ZNF814,19,-0.219,4.8,0.253,0.418575,-0.199
ENSG00000204588,LINC01123,2,-0.148,4.2,0.588,0.302859,-0.145
